(gán)	檊
bua	𢃊	𢂜	𤤰
bui	𠸟	𣾾	𣻃
bung	𢶻	葻	𨮇
buá	布	斧	鈽
buôn	奔	𧶭
buông	𢶻	捹	葻
buạ	倍	𡝃	步
buả	捕	䋠	𥿠
buốc	𫁰
buốt	扑	𤏫	𤺭	𤶽
buồi	𦢄	裴
buồm	帆
buồn	𢞂	忿	盆
buồng	帆	𢩣	房	蓬	逢
buổi	𣉳	𣇙	貝
buộc	𫃚	𢷏	𢯜	撲	扑	纀	𦄾	𥾾
buột	𫄂	𨁝	𨅗
bà	婆	妑	掱	杷	爬	琶	粑	耙	靶
bà,bò	爬
bài	俳	排	擺	擘	摆	掰	𣞻	牌	襬
bàm	𠻅	砭
bàn	𡂑	𠴞	搬	槃	柈	盤	盘	磐	肨	胖	般	蟠
bàng	傍	龎	嗙	龐	庞	彷	徬	㥬	旁	榜	滂	磅	膀	胮	蒡	螃	逄	鎊	雱	鰟	鳑
bành	彭	澎	膨	蟚	蟛
bào	刨	匏	咆	庖	泡	炮	狍	疱	皰	胞	苞	袍	鑤	鉋	鰾	鳔	鮑	鲍	麅
bàu	咆	垉	泡
bày	𫕾	排
bá	伯	叭	咟	壩	坝	播	把	栢	欛	柏	檗	百	耙	覇	霸	䶕
bác	伯	剥	北	博	搏	炮	礮	砲	膊	鎛	镈	駮	驳
bách	佰	廹	柏	栢	百	舶	迫
bái	唄	拜	扒	旆	沛	狽	稗	霈
bám	𢵉	𢶸	抸	禀	稟
bán	半
báng	搒	榜	𤹔	謗	谤
bánh	掽	𤖶	碰	𥹘	𨋣	𩛄	餅
báo	𪽕	𠸒	報	报	豹
bát	八	丷	叭	撥	扒	捌	拨	潑	泼	笨	缽	般	茇	鉢	釟	钵
báu	宝	寶
bâm	貶
bân	𫗌	彬	斌
bâng	冰	𢲔	挷
bâu	咆	𢄝	𢄇	蚫	蚼	裒	袍
bây	悲	拜	碑
bã	把	𥺖	粑
bãi	𪤄	𡓁	𣺽	罷	罢
bão	抱	暴	緥	菢	褓	跑	雹	𩙕	飽	饱
bè	佊	𤿤	𥯤	舥
bèm	𠹰
bèn	卞
bèo	瓢	䕯
bé	𡮩	𡮤	𡮌	閉
bén	𤓩	𤊰	𤇮	變	鍽
béng	𧦿
béo	脿	胖
bép	𠰏	𤇮
bét	別	𥇂	𦛺	𩻪	鱉
bê	𪺵	𠾦	𠶎	𤚆	陂
bên	扁	邊	边
bênh	兵
bêu	摽	撩	標
bì	埤	疲	皮
bìa	牌	皮
bìm	砭	䒦	𪀐
bình	坪	塀	屏	平	泙	瓶	缾	萍	評	评	鮃	鲆
bìu	瓢	褓
bí	轡	𠸠	辔	否	毖	痞	祕	秘	𦷬	苾	賁	贲	鉍	铋	閟
bích	壁	廹	璧	甓	碧	辟	迫
bính	丙	摒	柄	炳	碰	迸	餅	饼
bít	別	扒	捌
bíu	㧼	裱
bò	匍	圃	爬	𤙭	𤞨	䊇	蜅	𨆶	𨁏	鯆
bòi	培	䏽
bòm	澟
bòn	𢱔	盆
bòng	𢸚	摓	𣠑	蓬
bó	咘	抪	𣔩	𥿠	補
bóc	剥	卜
bói	𫎑	𧴤	貝
bón	𫃘	𤵳	𦊚
bóng	𫕰	俸	𡞗	𣈖	𤊡	䏾	𩃳
bóp	𢯒
bô	佈	哺	布	晡	甫	逋	醭	餔
bôc	𦄾
bôi	𠸟	杯	桮	盃
bôm	𠻅	𠰏
bôn	奔	犇	賁	贲	逩	錛	锛
bông	𣜳	葻	芃
bõ	捕	補	部
bõm	呠	澟
bõng	𣶈	淎
bù	蒲	補	賠
bùa	符	苻
bùi	裴
bùn	𡎛	湓	渀
bùng	𤑫	蓬	𩄏	颯
bú	𪜛	咘	哺	啂
búa	斧	鈽
búi	𦁀	𧸻	貝
bún	𥻸
búng	𢺒	棒
búp	芣
bút	筆	笔	芣
băm	𨮍
băn	彬	氷	班
băng	𫑌	冰	冫	崩	氷	硼	繃	绷	蹦	鏰
bĩ	否	圮	痞
bĩnh	胼
bĩu	𠼼	哹	𠶓
bơ	𪩬	𠀧	吧	巴
bơi	𢴾
bơm	泵	砭
bơn	般	𩺪
bưng	冰	搬	𢲔	挷	𢫕
bưu	彪	郵	邮
bươi	𢴾
bươn	𪱟
bương	梆	邦
bươu	蚫	豹	郵
bước	北	𨀈
bướm	𠰏	𧒅	蝶	𧊉
bướng	半	謗
bướp	𩶟
bướu	𤹼	𤷶	疣	肬
bường	平	旁
bưởi	𣘓	𣞻
bạ	播	把	簿
bạ/bộ	簿
bạc	博	泊	泺	白	礴	薄	鉑	鞄	魄
bạch	帛	白	𨒹	迫	鉑	铂
bại	敗	败
bạn	伴	叛	𠴞	拌	柈	畔	絆	绊
bạng	蜯	蚌
bạnh	𪽲	病
bạo	暴	爆
bạt	拔	拨	紱	茇	跋	䥽	鮁	鼥
bạu	偣	倍	㖣
bả	把	欛	粑	𥸿	跁	跛	爸	靶	𩨜
bải	𨇑
bản	坂	岅	𢪱	扳	本	板	版	舨	鈑	钣	阪
bảng	搒	榜	牓	版	鎊	镑
bảnh	𫅚	炤	炳	秉
bảo	保	𠸒	𠶓	堡	宝	寶	寳	泡	葆	褓	鴇
bảu	𠸒
bảy	罷	罢
bấc	𫕡	北	苝
bấm	𡀫	𡀀	𢶸	禀	禁	稟
bấn	𪨄	絆
bấp	乏
bất	不	抔
bấu	𪜢	𠸒	㨐	搆
bấy	卑	碑	罢	閉
bầm	𦡣
bần	𢠈	貧	贫
bầng	旁	泙	𤇊	蓬
bầu	保	匏	咆	垉	泡	瓢	䕯	裒	輳
bầy	𠍣	俳	悲	排	皮
bẩm	𡀫	禀	稟
bẩn	𪷪	𣵲	泮
bẩy	摆
bẫm	𦚖
bẫu	瓿	𧧀
bẫy	𪳴	𠙣	擺	𣘓	𣞻
bậc	𫂨	偪	北	堛	弼	𨄑	𨀈	𨸾
bậm	壈	𡒄
bận	半	彬	泮	𦁂	絆	𥾽	遍
bập	𠰏	潗
bật	弼
bậu	倍	𧔙
bậy	𪦚	丕	呸	敗
bắc	北	𢫣
bắn	𪧻	𪪻	𡭉	𢏑	拌	扳	鉡
bắng	繃	綳	绷
bắp	𣔟	𥟼
bắt	𫐴	𫐾	八	扒	捌	抔
bằn	弼	怦
bằng	馮	冯	凴	凭	平	憑	朋	棚	甭	評	錋	鵬	鹏
bẳm	砭	禀	稟
bẳn	怑	𢠈	㤓	扳	𢪱
bẵm	𤢤
bẵng	凭	朋	滂
bặc	匐	卜	𦹣	𨄑	踣
bặm	𤢤	禀	稟
bặt	匐	弼	拔	拨
bẹ	備	𠹯	梐	瓣
bẹn	𫆘	胼	辨
bẹo	㩧	暴	表
bẹp	𠻅	𠰏	抸	𧊉
bẹt	𪺤	別
bẻ	𠶎	𢯏	把
bẻm	𠹰	𠷨
bẻo	𠶓	表
bẽ	𠳝	啚	𢜢	蜱	鄙
bẽn	𪭀	惼	扁
bẽo	殍
bế	嬖	閉	闭
bến	变	𡔖	𡍣	𤅶	𣷷	變
bếp	灶	点	𤇮
bết	別	𡌀
bề	佊	皮	鼙
bền	𥑃	𥾽	駢
bềnh	泙	萍
bều	𤃛
bể	彼	𣷭	波	𥓳
bễ	𫖽	桮	𣔓	睥	髀
bệ	狴	薜	被	陛
bệch	壁	璧	胉
bện	抃	𥾽	絆	辮
bệnh	病
bệt	別
bệu	𦟵
bỉ	彼	秕	粃	鄙
bỉnh	秉
bị	𪝌	備	俻	备	惫	憊	被	鞴	鞁
bịa	𡀠	碑
bịch	壁	擗	𢸵	璧	甓
bịn	瓢	𥾽
bịnh	病
bịp	𠰏	䒦	𪀐
bịt	別	𠣶	𢃉	捌	𨧢
bịu	褓
bọ	𧌂	蜅
bọc	𫃚	仆	僕	纀	𦄾	𥼜	襆
bọn	𪨠	伴	呠	𦏓
bọng	棒	𣻈	淎	䏾
bọp	𢯒
bọt	浡	渤
bỏ	𠬕	𠬃	悑	補	补
bỏi	𪔡
bỏm	呠	𡀀	𡀫
bỏng	𣻈	𤊡	疱
bố	佈	布	怖	悑	捕	𢂞	甫
bốc	⺊	卜	𡃒	扑	蔔	襆	蹼
bối	𦁀	背	蓓	貝	贝	輩	辈	钡	鋇
bốn	奔	本	𦊚
bống	俸	𩺨	𩸮
bốp	𠶙	抸	𢯒
bồ	匍	𥎉	䈬	耙	蒲	菩	葡	補	𪇨
bồi	培	徘	抔	掊	焙	背	褙	賠	赔	錇	锫	陪
bồn	盆	葐
bồng	𢸚	摓	捧	𣠑	𤂧	篷	蓬	芃
bổ	捕	補	补	𧻷
bổi	培	𢊫	背
bổn	夯	本	畚	笨
bổng	俸	捧	棒
bỗng	俸
bộ	步	簿	部	鈈	钚
bộc	仆	僕	曝	暴	𣅃	瀑	濮	𣾴	纀	釙	钋
bội	倍	佩	悖	焙	珮	背	蓓
bộn	坌	𡖱	本	𦁂
bộng	棒
bộp	𠶙
bột	侼	勃	孛	桲	浡	渤	𥹸	脖	餑	饽	鵓	鹁
bớ	𪡈	𡃓	叭	咟
bới	𪽝	𢱎	捭
bớn	半
bớp	抸	𩶟
bớt	叭	扒	抔	𣼪
bờ	坡	披
bời	𫄐	𢱎	排	牌	罷	罢
bờm	𣭛	砭
bở	𠴙	啚	彼
bởi	𪽝	罷	罢
bỡ	把	被
bỡn	㤓	怑	版	胖
bợ	備	播	簿	被
bợm	𪥻	𠍥	𠇖	姂
bợn	𣵲	泮	湲
bợp	𩬪
bợt	叭	𦫘
bụ	哺
bụa	倍	𡝃	步
bục	㯷
bụi	𡏧	垻	培	𣻃	𣾾	蓓
bụm	𢶸	禀	稟
bụng	䏾
bụt	𪣽	侼	孛	桲
bủa	捕	𥿠	補
bủm	𣱭
bủn	𡭦	㤓	本
bủng	𤷰	䏾
bứa	栢
bức	偪	堛	幅	愊	煏	皕	蝠	輻	辐	逼
bứng	挷
bứt	抔
bừa	耚	耙
bừng	𪰓	𪹚	怦	旁	泙	𤇊	蓬	評
bửa	把	𨧆	𩛷
bửng	板	榜
bửu	保	宝	寶
bữa	把	𣇊	栢	𩛷
bự	被
bựa	𡃓	𠳝
bực	偪	堛	域	愊	踾	逼
ca	哥	嘎	喀	尜	尕	旮	歌	袈	軋	轧	迦	釓	钆
cai	垓	荄	該	该	賅	赅	陔	頦	颏
cam	坩	柑	泔	甘	疳
can	乾	干	杆	竿	肝
cang	亢	剛	罡	釭	鋼
canh	埂	庚	更	畊	粳	經	羮	耕	鶊
cao	槔	橰	熇	皋	篙	糕	羔	翱	膏	臯	睾	餻	高	髙
cau	𫑯	槁	槔	榚	橰	皋
cay	𫐝	𡀲	咳	𠹽	荄	𨐮	𨢟
cha	乍	吒	咋	𤕔	詐
chai	𥑂	齊
cham	斟
chan	振	滇	真
chang	𣆮	𤑈	真	粧
chanh	争	張	𣔥	棦	柾	橙	爭
chao	挍	洲	焯
chau	咮	朱	洙	珠	𤶎	𥅲	罩	邾	邹
chay	斎	斋	𣙮	齋	齐
che	𫑃	枝	𨑤	𩂏
chem	占	沾	蛄
chen	擅	扦	𢫔	氈	毡	羶	𧿐	𨆁	邅
cheo	𠰉	撩	招	㹦
chi	之	卮	吱	嗞	巵	支	枝	栀	梔	搘	肢	脂	胝	芝	𩿨
chia	技	𢺹	𢺺	支
chim	𫚳	𪀄
chinh	征	怔	鉦	钲
chiu	𠶅	招	昭
chiêm	佔	占	呫	拈	瞻	碪	砧	秥	粘	苫	襜	詹	霑	韂
chiên	氈	氊	毡	煎	羶	𦍫	邅	顫	颤
chiêng	鉦
chiêu	𢢅	招	昭	釗	钊
chiì	持
chiếc	隻
chiếm	佔	占	苫
chiến	戰	战
chiếng	𠰪	政
chiếp	𠽃
chiết	摺	折	析	浙	淛	蜇	䱑
chiếu	照	炤	𤇧	𥴜	詔	诏
chiền	廛	蹍
chiềng	𠴔	呈
chiều	𪤾	𢢅	𣋂	朝
chiểu	沼
chiệp	褶
chiờn	𪵚
cho	朱	渚
choa	朱
choai	𡮓	繸	追	騅
choang	張	淳	𤈛	𨭏
choe	啜	𣾵
choi	制	椎
chon	墩	嶟	㨯	村	終
chong	𢴋	𢫝	𤍑	𤇩	炵
choài	淮
choàng	幢
choác	𠺷	㗱	𣘌
choái	厔	𨁘
choán	準	篡
choáng	幛	𢲜	𤶜	𤶏	胱	𨡈
choãi	𨁘
choè	𦴶	𪄦
choèn	專
choé	啜
choét	拙	𣾵
choạc	𠺷	𨄃
choại	繸	𨁘
choạng	𨆒	𨡧
choải	𨁘
choảng	𢶥
choắt	捉	拙
choẹ	鋖
choẹt	𣾵
chu	周	州	朱	硃	舟	蛛	週	邾	邹
chua	咮	洙	洛	注	註	䣷
chui	堆	推	𥩉
chum	𡑓	坫	炶
chun	墫
chung	盅	終	终	螽	鐘	鍾	钟	鈡
chuy	淄	萑	鎚	隹	騅
chuyên	专	剸	專	耑	甎	磚	砖	𦉊	膞	䏝	轉	顓	颛
chuyến	傳	專	戰	轉
chuyếnh	𨠣
chuyết	啜	拙	敪	棁	輟	辍
chuyền	傳	轉
chuyển	囀	轉	转
chuyện	傳
chuá	主
chuôi	摧	槯	𣙯	洡
chuôm	𣛧	潹
chuông	鐘	鍾
chuý	惴
chuất	絀	绌	茁
chuẩn	准	榫	𣛜	準	隼
chuật	怵
chuế	綴	缀	贅
chuếnh	𨠣
chuốc	祝	織	酌
chuối	桎	𣑳	棳	樶	槯	胵	腏	荎	𩸯
chuốt	捽	淬	率
chuồn	窜	𧋃	𨒸
chuồng	𡈩	栫	框
chuỗi	𠁻	綴	𦀵
chuộc	屬	贖
chuộng	𫖦	尚	尙	𡮶	𢝆	重
chuột	𤝞
chuụp	執
chuỳ	搥	捶	槌	椎	鎚	錐	錘	锤	锥
chuỷ	匙	匕	嘴	徵	觜
chà	搽	𣗪	𨃓
chài	𦄴	𥾒
chàm	𪷞	占	𣠩	𣞎	藍
chàng	幢	撞	払	𧑆	𧛇
chành	梗
chào	嘲	朝
chày	持	𣖖	杵	𣙮	遲	迟	𩹭
chá	吒	咋	炙	痄	鍺
chác	卓	喙	啄	棹	琢	角
chách	咋	㗱
chái	厔	𢈖	斎
chán	𡃹	𠺲	𢥇	振
cháng	幛	𣈚
chánh	正	𦭒
cháo	粥	𥹙	粩	𥺊
chát	𠹗	質	貭
cháu	孫	𡥙
cháy	𪸔	𤈜	𩺧	𩶪
châm	𠛌	斟	椹	砧	箴	鍼	䥠	針	针
chân	搷	甄	真	眞	蹎
châu	㑳	周	州	朱	株	洲	珠	硃	舡	舩	舟	蛛	週	鵃
chây	齋
chã	𣼫	渚	𤀞	諸
chão	𦄹	𥿣	紹	𧊌
chè	𫉕	茶
chèn	𢷹	躔
chèo	𢴿	掉	棹	𣛨	𩻹
ché	𪨛	𡍘
chém	𪟂	劍	𠛤	㓠	𡃍	斬
chén	𡃹	盞	𥗜
chéo	湥	袑
chép	劄	𠽃	嘖	𩺗	鮿
chét	折	𦄃	紥	𧋍
chê	吱
chêm	拈	襜	袩
chênh	崢	征	正	邅
chì	持	𨦥	𨨲	鈘
chìa	𢹌	鈘
chìm	沉	沈
chình	埕	𩸵	𩶝
chí	志	摯	挚	𤴡	疐	痣	至	蛭	誌	贄	贽	躓	踬	𩶪	鷙	鸷
chích	刺	只	摭	澤	炙	蹠	跖	隻	𩹹	𪇪	鶺
chím	占	呫
chín	𠃩	㐱	𢒂
chính	政	正	酲
chíp	𠽃
chít	哳	𡂒	哲	折	𦄃
chíu	𠰉
chò	株	校
chòi	𢬗	椎	𥴛
chòm	𫇳	呫	移	𥱱	笘	𥬧
chòng	㤏	𧰜
chó	𤠚	㹥	犬	犾	𤝹
chóc	祝
chói	𣉴	樶	熶	𤈜
chóng	𪭮	𫏢	𢶢	𨙛
chóp	𩅀	𩮿
chót	卒	啐	崒	拙	𩫛
chôm	𣚽	橬	苫
chôn	墫	村
chông	𪳘	䈺	蔠
chõ	𪨚	𠰍	𡓇	𡊲	拄	朱	注
chõm	呫
chõn	准
chõng	偅	榻	種	𥵾	重
chù	𪻋	厨	啁	廚	𤝹
chùa	厨	㕑	廚
chùi	𢬗	𢹉	𣑳
chùm	𫇳	呫	森
chùn	𠱜
chùng	𦇮	虫
chú	咒	晝	注	澍	炷	疰	蛀	註	詛	诅	鑄	铸
chúa	主
chúc	囑	嘱	屬	属	烛	燭	矚	瞩	祝	粥	𨃷	鬻
chúi	咥	捶	跮
chúm	呫	點
chúng	众
chút	𪨀	𪨃	𡭧	𡮇	𢮬	拙
chăm	𫂷	𫃋	占	𢟙	𢤝	沾	𥊀	針
chăn	搷	𤛇	𧜖
chăng	丕	庄	張
chĩa	𢶾
chĩnh	𫄺	埩	埕
chĩu	沼
chũa	牲
chũi	跮
chũm	朕	枕	𨫇	鴆
chơ	加	諸
chơi	制	挃	𨔈
chơm	𩬑
chư	諸	诸
chưa	𣗓	𣠖	𤀞	渚	猪	諸	豬
chưn	蹎
chưng	徵	烝	蒸
chương	嫜	張	彰	樟	獐	璋	章	脹	蟑	麞
chước	𫍍	勺	妁	斫	杓	灼	硳	箸	繳	著	酌
chướng	嶂	張	瘴	脹	障
chườm	𤉠
chường	呈	悜
chưởi	𠯽
chưởng	掌
chạ	乍	咋	藉
chạc	啅	戳	櫂	鐲	镯	鋜	鐯
chạch	䖳	𩺢	𩹹	𩶱
chạm	𪮻	𠝻	揕	踸	鏨
chạn	𣗑
chạng	𣈚
chạnh	𢤜	鄭
chạo	招	𦚔	鮉
chạp	𣎖	臘	腊
chạy	豸	𧼋
chả	𫆢	啫	𤀞	渚	炙	鮓	鲊	鮺
chải	扯	豸
chảm	針
chảo	𨥿	𨧪
chảy	沚
chấm	枕	㴨	点	蘸	點
chấn	振	震
chấp	𪠺	執	𢩾	执	𢴇	汁	𤎒	褶	襵
chất	厔	𡂒	屹	膣	蛭	質	质	貭	郅	鑕	锧
chấu	𧎝	𧋀	蛀	蛁	䖡
chấy	𤈜	𧋺	蛭
chầm	占	尋	斟
chần	塵
chầu	朝
chầy	遲
chẩm	怎	枕
chẩn	怎	畛	疹	縝	缜	胗	袗	診	诊	賑	赈	軫	轸
chẩng	拯
chẩu	𠶕	咮	朱
chẩy	沚
chẫm	踸	酖
chẫu	蟄	蛁	蛛
chậm	踸
chận	振	鎮	陣
chập	執	执	習
chật	帙	秩
chậu	𡎣	𡊱
chắc	昃	聀	職	职	質	貭
chắm	枕
chắn	𪩔	振	鎮
chắng	𪭽
chắp	及	執	𢴇	插	执	扱	招	𦄌
chắt	𡂒	𠹗	𡦫	質
chằm	占	忱	𢲥	𢭽	沉	沈
chằn	𤠶	陳
chằng	𤠶	𦁢
chẳm	枕
chẳng	丞	丕	庄	拯
chẵn	振	提	軫
chặm	揕	𣻁
chặn	振	提	拯	陣
chặng	拯
chặp	執	扱	蟄
chặt	𪮞	劕	𠞠	㩫	秩	突	𥾛	質	鑕
chẹ	䊼
chẹn	𢸢
chẹo	召
chẹt	折
chẻ	𢯙	扯	技	𨨪
chẻm	㓠	鮎
chẽ	䊼	製
chẽn	展	𧟀
chế	制	𠶜	吱	製	𨨪
chếch	𣉲	職	隻
chếnh	正
chết	折	找	𣩁	𣩂
chề	提	支	滯	遲
chểnh	整
chễm	占	呫	𡓢
chệ	治	篆
chệch	擲	折	隻
chệnh	整	篆
chỉ	只	咫	址	恉	指	扺	扯	帋	旨	枳	止	沚	滓	砥	祇	紙	䊼	𥿗	纸	脂	芷	衹	趾	躇	跐	酯	阯	隻	黹
chỉm	呫	砧
chỉn	㐱
chỉnh	整
chị	姉	姊	肺
chịa	鈘
chịt	折
chịu	𠺥	𠹾	召
chọc	濁	祝
chọi	㩡	挃	𧥃	跮	𨀤
chọn	撰	論
chọt	啐	𡊲
chỏ	擼	指	拄	𦙴
chỏm	𫗹	枕	𩮿
chỏng	偅	種	𥵾
chốc	𤹙	祝
chối	嘬	咥	嚉	啜
chốn	准	坉	準
chống	𢶢	挵	證	証
chốt	卒	椊	䱣
chồi	𣑳	䒹
chồm	𨇸	跕
chồn	屯	𤞐	㹠	𤶐
chồng	𥔧	𨤯	重
chổi	帚	箒	筙	䇛	𥶲	䒹
chổm	跕
chổn	准
chổng	偅	種	𥵾
chỗ	𡓇	𡊲	祖
chỗi	𠐞	㑍	跮
chỗm	𨃵	跕
chộn	撰
chộp	執	𢴊	𢩾	捉
chột	椊	𥈳	𥄵
chớ	𠤌	𠤆	咀	𤀞	渚	𤈪
chới	制	𤋽	𤈪	𨔈
chớm	𠠭	拈
chớp	𤎒	𩅀
chớt	質
chờ	𪡷	徐	䟻	除
chờn	廛
chở	翥	諸	𨔾	䢐	𩅻
chởm	嶄	𡹟	𥕌	鍼
chợ	助	𢄂
chợp	執	𢴇	𢩾	𥅿	臘
chợt	卒	𡂒	眣	秩	突	跌
chụ	炷
chục	妯	柚	蚰	𨔿	逐
chụm	揕	𥱱	跕
chụp	執	𨄴
chụt	𠶯	啐
chủ	丶	主	麈	拄
chủn	准	準
chủng	偅	種	种	𥵾	踵
chứa	𤀞	渚	翥	諸	𧸓	貯	躇	踷
chức	織	织	聀	職	职
chứng	癥	症	瘴	證	証	证
chừ	𣇞	除
chừa	徐	除
chừng	澄	烝	蒸	證	証
chử	楮	杵	𤀞	渚	煮	煑	翥	褚
chửa	𪦜	𪳼	媎	𣠖	渚	䐗
chửi	𪴾	𠯽
chửng	拯
chửu	箒
chữ	𡦂	𡨸	字
chữa	𡪇	助	𢵻	𧸓
chững	拯	證	証
chực	直
co	孤	𢮩	𢯐	抓	㧓	𨂗	𧿼	𨔌
coi	𫀅	𫀢	占	𥋳	䁛
con	𡥵	昆
cong	𡉖	圮	工	弓	𢏣	𣒳	𦈣	𧋄	釭
cu	俱	蚼	鴝
cua	蠏	𧍆	𧍏	蛄	蛌
cui	𣔞
cung	供	宫	宮	卭	工	弓	恭	空	筇	跫	躬	邛
cuông	光
cuả	𧶮
cuốc	𫛐	國	掬	脚	腳	蟈	𨨠	鋦	鵴
cuối	季	𡳳	𡳃	會	檜
cuốn	卷	捲	眷	睠
cuống	𫈃	𧋵	誑	𨁨	逛
cuồn	𪷧	滚
cuồng	狂
cuộc	局
cuội	桧	檜	𥖩
cuộn	倦	捃	捲	滾	淃	綣	衮
cà	𪲾	𫈥	𫉸	其	咖	𣘁	歌	䔅	茄	蜞	袈
cài	𢱙	掑	㧡	瘸
càn	乾	𠼳	干	㨴	菫
càng	𪨈	𫋙	強	强
cành	𡙴	梗
cào	𢲵	搞	𧎸	覯	鎬
càu	笱	苟
cày	𫀵	掑	𦓿
cá	个	個	箇	𩵜
các	各	擱	搁	鉻	铬	閣	阁	閤
cách	咯	嗝	挌	格	滆	硌	肐	膈	胳	鎘	镉	隔	革	骼	鬲
cái	丐	個	匃	戤	盖	蓋	鈣	钙
cám	感	敢	𥽇	𥼲	紺	绀
cán	幹	干	擀	杆	榦	檊	桿	骭
cáng	𫆥	伉	杭	綱
cánh	𫅩	勁	哽	更	梗	竟	𦑃
cáo	告	𤞺	誥	诰	鋯	锆
cáp	合	哈	蛤	鉿	铪	鴿	鸽
cát	𪶼	佶	割	吉	𡋥	𢲞	桔	洁	𣻅	葛
cáu	㗕	呴	告	垢	𢞄	逅
cáy	𢚲	𢗡	𧉝
câm	𡅧	唫	襟	衾
cân	巾	斤	筋	荕	觔	跟	靳
câng	疆
câu	俱	佝	勾	勹	句	拘	抅	沟	溝	泃	褠	鉤	鈎	钩	阄	鞲	駒	𩾛	鴝	𪀊	鼩	齁
cây	核	荄
cãi	𠳚	唤	改
cò	𫛈	瞿	蛌	𨂗	鸜	𪂮	𪂲
còi	孤	𥶯
còm	臁	膁	𦟉
còn	噲	哙	群
còng	𪽱	穷	𢏣	拲	𣌶	窮	𧔚	𧋄	躬	鉷
có	固	𣎏	箇
cóc	㭲	𧋉
cói	薈	蒐
cóng	𠗸	貢
cóp	合	級
cót	咭	𥱪
cô	估	姑	孤	沽	箍	菰	苦	苽	菇	蛄	軲	轱	辜	逭	鴣	鸪
côi	𪧄	孤
côn	崑	昆	棍	琨	緄	褌	裈	鯤	鲲	鵾	鹍
công	公	功	工	攻	蚣	釭	䲨	䲲
côông	工
cõi	𡎝	𡑭	𨇒
cõng	拱	𧶯
cù	劬	岣	枸	樛	氍	求	癯	瞿	臞	蠼	蠷	虮	虬	衢	鴝	鸲	鼩
cùi	𪽵	儈	𢶟	癩	𪇋
cùm	拑	柑	鉗
cùn	𪟓	勤	𨮉
cùng	共	𡀳	拱	窮	藭	蛩
cú	𫚱	勾	句	枸	笱	苟	鴝
cúa	固
cúc	掬	粷	菊	𨨠	鞫	鞠
cúi	𫏱	儈	𨆝	𩠠
cúm	噤	𤻎
cúng	供
cúp	及
cút	嗗	咭	骨	𪄥
căm	咁	唫	惍	㤌
căn	𠶌	根
căng	兢	扛	𢫮	矜
cũ	𪡻	𫇰	𡳰	屢	屡	𡳵
cũi	櫃
cũn	滚
cũng	供	共	拱
cơ	几	剞	叽	唧	基	墼	埮	奇	姬	幾	机	機	犄	磯	矶	箕	箍	綦	肌	𦠄	萁	蟣	虮	譏	讥	饑	飢	饥
cơi	核	棋	該
cơm	粓	𩚵
cơn	干	杆	群	𩂀
cư	居	据	琚	裾	鋸	锯
cưa	剧	鋸
cưng	姜	疆	羌	薑
cưu	鳩	𩾛
cương	僵	冈	剛	刚	崗	岡	岗	彊	㭎	殭	疆	綱	缰	纲	鋼	钢	韁
cước	脚	腳	踋
cưới	𡣨	𡠣	𡛔
cướp	𪠱	刦	刧	劫
cười	𪤺	唭
cườm	𤪊	𥑠	鉗
cường	彊	强	強	镪
cưởng	囝
cưỡi	騎
cưỡng	强	強	繦	襁
cược	噱	屩	蹻
cạc	𡁤	咯
cạch	劇	磔
cạm	橄	檻
cạn	乾	𣴓	汗	𣵲
