a	阿
cảnh tình	景情
cảnh vật	景物
cảnh vệ	警衛
cảnhtình	景情
cảnhvật	景物
cảnhvệ	警衛
cấp	級	急
cấp thời	急時
cấpthời	急時
cần	勤
cần yếu	勤要
cầnyếu	勤要
cầu	求
cầu xin	求吀
cầuxin	求吀
cận	近
cận thị	近視
cận đại	近代
cậnthị	近視
cậnđại	近代
cập	及
cắt	割
cổ	古
cổ điển	古典
cổđiển	古典
cộng	共
cộng hoà	共和
cộng sản	共産
cộng đồng	共同
cộnghoà	共和
cộngsản	共産
cộngđồng	共同
cờ	旗	碁
của	𧵑
của công	𧵑公
củacông	𧵑公
cứ	拠
cứ điểm	拠點
cứu	究
cứđiểm	拠點
cử	舉
cử hành	舉行
cử nhân	舉人
cửa	𨴦	𨷶
cửa hàng	𨴦行	𨷶行
cửa sổ	𨴦数	𨷶数
cửahàng	𨴦行	𨷶行
cửasổ	𨴦数	𨷶数
cửhành	舉行
cửnhân	舉人
da	䏧
da thuộc	䏧屬
danh	名
danh từ	名詞
danhtừ	名詞
dathuộc	䏧屬
do	由
doanh	营	營
doanh nghiệp	营業	營業
doanh số	营数	營数
doanhnghiệp	营業	營業
doanhsố	营数	營数
duy nhất	唯一
duynhất	唯一
dài	𨱽
dân	民
dân chủ	民主
dân cử	民舉
dân quyền	民权	民權
dân số	民数
dân sự	民事
dân vệ	民衛
dânchủ	民主
dâncử	民舉
dânquyền	民权	民權
dânsố	民数
dânsự	民事
dânvệ	民衛
dây	絏
dây điện	絏電
dâyđiện	絏電
dãy	𧿆
dãy núi	𧿆𡶀
dãynúi	𧿆𡶀
dù	𠶢
dù rằng	𠶢浪	𠶢哴
dù sao	𠶢牢
dùng	用
dùrằng	𠶢浪	𠶢哴
dùsao	𠶢牢
dương	洋
dưới	𤲂
dược	藥
dược học	藥学	藥學
dược liệu	藥料
dược phòng	藥房
dược phẩm	藥品
dược sĩ	藥士
dược điển	藥典
dượchọc	藥学	藥學
dượcliệu	藥料
dượcphòng	藥房
dượcphẩm	藥品
dượcsĩ	藥士
dượcđiển	藥典
dạ	唯
dạ vâng	唯𠳐
dạvâng	唯𠳐
dạy	𠰺
dạy bảo	𠰺保
dạy học	𠰺学	𠰺學
dạybảo	𠰺保
dạyhọc	𠰺学	𠰺學
dầu	油
dầu ăn	油咹	油𩛖
dầuăn	油咹	油𩛖
dắt	𢩮
dễ	易
dễ thương	易傷
dễ thường	易常
dễthương	易傷
dễthường	易常
dịch	譯
dịch vụ	役務
dịchvụ	役務
dụng	用
dự	預
dự báo	預報
dự chi	預支
dự kiến	預見
dự án	預案
dự định	預定
dựa	豫
dựa trên	豫𨕭
dựatrên	豫𨕭
dựbáo	預報
dựchi	預支
dựkiến	預見
dựng	𥩯
dựán	預案
dựđịnh	預定
em	㛪
em bé	㛪𡮣
embé	㛪𡮣
gia	家	加
gia cảnh	家景
gia nhập	加入
gia vị	加味
gia đình	家庭
gia đình bên nội	家庭边内
gia đình trị	家庭治
giacảnh	家景
gian	間
gianhập	加入
giao	交
giao hàng	交行
giaohàng	交行
giavị	加味
giađình	家庭
giađìnhbênnội	家庭边内
giađìnhtrị	家庭治
già	𦓅
già cả	𦓅哿
già yếu	𦓅要
già đời	𦓅𠁀
giàcả	𦓅哿
giàyếu	𦓅要
giàđời	𦓅𠁀
giá	价	價
giá mắt	价眜	價眜
giá thị trường	价市場	價市場
giá trị	价値	價値
giámắt	价眜	價眜
giáo	教
giáo sư	教師
giáo viên	教員
giáo vụ	教務
giáo đường	教堂
giáosư	教師
giáoviên	教員
giáovụ	教務
giáođường	教堂
giáp	夾
giáp chiến	夾戰
giáp giới	夾界
giáp hạt	夾籺
giáp mặt	夾𩈘
giápchiến	夾戰
giápgiới	夾界
giáphạt	夾籺
giápmặt	夾𩈘
giáthịtrường	价市場	價市場
giátrị	价値	價値
gió	𩙌	𩙋
gió mưa	𩙌𩅹	𩙋𩅹
gió trăng	𩙌𦝄	𩙋𦝄
gió đông	𩙌東	𩙋東
giómưa	𩙌𩅹	𩙋𩅹
giótrăng	𩙌𦝄	𩙋𦝄
gióđông	𩙌東	𩙋東
giúp	𠢞
giúp đỡ	𠢞拖
giúpđỡ	𠢞拖
giải	解
giải nghĩa	解義
giải quyết	解決
giải thích	解釋
giảinghĩa	解義
giảiquyết	解決
giảithích	解釋
giấy	紙
giấy báo	紙報
giấy bạc	紙鉑
giấy in	紙印
giấy viết thư	紙曰書
giấy đánh máy	紙打𣛠
giấy ảnh	紙影
giấybáo	紙報
giấybạc	紙鉑
giấyin	紙印
giấyviếtthư	紙曰書
giấyđánhmáy	紙打𣛠
giấyảnh	紙影
giới	界
giới hạn	界限
giớihạn	界限
giờ	𣇞
giờ làm việc	𣇞爫役
giờ đây	𣇞低
giờlàmviệc	𣇞爫役
giờđây	𣇞低
giữ	𡨹
giữ lòng	𡨹𢚸
giữ lời	𡨹𠳒
giữ miệng	𡨹𠰘
giữ ý	𡨹意
giữa	𡨌
giữlòng	𡨹𢚸
giữlời	𡨹𠳒
giữmiệng	𡨹𠰘
giữý	𡨹意
gái	𡛔
gây	𢲧
gây chiến	𢲧戰
gây chuyện	𢲧𡀯
gây dựng	𢲧𥩯
gâychiến	𢲧戰
gâychuyện	𢲧𡀯
gâydựng	𢲧𥩯
gì	之	咦
gấp	急
gần	𧵆
gần xa	𧵆賖
gầnxa	𧵆賖
gọi	噲
gọi cửa	噲𨴦	噲𨷶
gọi là	噲羅
gọicửa	噲𨴦	噲𨷶
gọilà	噲羅
hai	𠄩
hay	咍
hay là	咍羅
hay quá	咍過
hay sao	咍牢
haylà	咍羅
hayquá	咍過
haysao	咍牢
hiểm	險
hiểu	曉
hiểu biết	曉别
hiểubiết	曉别
hiện	現
hiện nay	現𠉞
hiện tiền	現前
hiện tại	現在
hiện đại	現代
hiệnnay	現𠉞
hiệntiền	現前
hiệntại	現在
hiệnđại	現代
hoa	花	華
hoa kỳ	花旗
hoa trà	花茶
hoakỳ	花旗
hoatrà	花茶
hoà	和
hoà bình	和平
hoàbình	和平
hoá	化
hoá học	化学	化學
hoá trị	化値
hoáhọc	化学	化學
hoátrị	化値
hoặc	或
hoặc là	或羅
hoặclà	或羅
hà	河
hà nội	河内
hàng	行	航
hàng chữ	行𡦂	行𡨸
hàng hải	航海
hàng không	航空
hàngchữ	行𡦂	行𡨸
hànghải	航海
hàngkhông	航空
hành khách	行客
hànhkhách	行客
hànội	河内
hán	漢
hán việt	漢越
hán văn	漢文
hánviệt	漢越
hánvăn	漢文
hãng	行
hình	形
hình thành	形成
hình ảnh	形影
hìnhthành	形成
hìnhảnh	形影
hòn	𡉕
hòn đảo	𡉕島
hònđảo	𡉕島
hôm	歆	𣋚
hôm nay	歆𠉞	𣋚𠉞
hôm qua	歆戈	𣋚戈
hôm sau	歆𡢐	𣋚𡢐
hôm xưa	歆𠸗	𣋚𠸗
hômnay	歆𠉞	𣋚𠉞
hômqua	歆戈	𣋚戈
hômsau	歆𡢐	𣋚𡢐
hômxưa	歆𠸗	𣋚𠸗
hơn	欣
hương	香	鄉
hương liệu	香料
hương tục	鄉俗
hương vị	香味
hươngliệu	香料
hươngtục	鄉俗
hươngvị	香味
hưởng	響
hạch	核
hạch nhân	核仁
hạchnhân	核仁
hạn	限
hạnh	幸	杏
hạnh nhân	杏仁
hạnhnhân	杏仁
hạt châu	籺珠
hạt mưa	籺𩅹
hạt sen	籺蓮
hạt tiêu	籺椒
hạtchâu	籺珠
hạtmưa	籺𩅹
hạtsen	籺蓮
hạttiêu	籺椒
hải	海
hải khẩu	海口
hải nam	海南
hải ngoại	海外
hải quan	海関	海關
hải quân	海軍
hảikhẩu	海口
hảinam	海南
hảingoại	海外
hảiquan	海関	海關
hảiquân	海軍
hận	恨
hậu	後
hậu thuộc địa	後屬地
hậu đường	後堂
hậuthuộcđịa	後屬地
hậuđường	後堂
hết	歇
hết cả	歇哿
hếtcả	歇哿
hệ	係	系
hệ số	係数
hệ thống	系統
hệsố	係数
hệthống	系統
họ	户	戶
học	学	學
học hành	学行	學行
học sinh	学生	學生
học thuộc lòng	学屬𢚸	學屬𢚸
học viện	学院	學院
học vấn	学問	學問
học đường	学堂	學堂
họchành	学行	學行
họcsinh	学生	學生
họcthuộclòng	学屬𢚸	學屬𢚸
họcviện	学院	學院
họcvấn	学問	學問
họcđường	学堂	學堂
hỏi	𠳨
hối	悔
hối hận	悔恨
hối tiếc	悔惜
hốihận	悔恨
hốitiếc	悔惜
hồng	紅
hồng hà	紅河
hồng thập tự	紅十字
hồnghà	紅河
hồngthậptự	紅十字
hỗ	互
hỗ trợ	互助
hỗtrợ	互助
hộ khẩu	户口	戶口
hội	会	會
hộkhẩu	户口	戶口
hộp	盒
hộp thư	盒書
hộpthư	盒書
hột	籺
hợp	合
hợp bang	合邦
hợp doanh	合营	合營
hợp phần	合分
hợpbang	合邦
hợpdoanh	合营	合營
hợpphần	合分
in	印
khi	欺
khi nào	欺芇
khinào	欺芇
khoa	科
khoa học	科学	科學
khoa trưởng	科長
khoahọc	科学	科學
khoatrưởng	科長
khoẻ	劸
khu	區
khu phố	區鋪
khu vực	區域
khuphố	區鋪
khuvực	區域
khác	恪
khác biệt	恪别
khác thường	恪常
khácbiệt	恪别
khách	客
khách địa	客地
kháchđịa	客地
khácthường	恪常
khí	氣
khó	𧁷
khó khăn	𧁷巾
khó lòng	𧁷𢚸
khókhăn	𧁷巾
khólòng	𧁷𢚸
không	空
không bao giờ	空包𣇞
không gì	空之	空咦
không khí	空氣
không kể	空計	空𠸥
không sao	空牢
không thể	空体	空體
khôngbaogiờ	空包𣇞
khônggì	空之	空咦
khôngkhí	空氣
khôngkể	空計	空𠸥
khôngsao	空牢
khôngthể	空体	空體
khăn	巾
khảo	考
khảo cứu	考究
khảo tra	考查
khảocứu	考究
khảotra	考查
khẩu	口
khẩu phần	口分
khẩuphần	口分
khắp	泣
khắp nơi	泣坭
khắpnơi	泣坭
khổ	苦
khổng	孔
khổng giáo	孔教
khổng tử	孔子
khổnggiáo	孔教
khổngtử	孔子
kinh	経	經
kinh doanh	経营	經營
kinh sử	経史	經史
kinh tài	経財	經財
kinh tế	経济	經濟
kinhdoanh	経营	經營
kinhsử	経史	經史
kinhtài	経財	經財
kinhtế	経济	經濟
kiếm	劍
kiếm thuật	劍朮	劍術
kiếmthuật	劍朮	劍術
kiến	見
kiện	件
kêu	叫	呌
kêu cầu	叫求	呌求
kêu gọi	叫噲	呌噲
kêu trời	叫𡗶	呌𡗶
kêucầu	叫求	呌求
kêugọi	叫噲	呌噲
kêutrời	叫𡗶	呌𡗶
kết	結
kết hợp	結合
kết quả	結果
kếthợp	結合
kếtquả	結果
kể	計	𠸥
kể ra	計𦋦	𠸥𦋦
kể trên	計𨕭	𠸥𨕭
kểra	計𦋦	𠸥𦋦
kểtrên	計𨕭	𠸥𨕭
kỳ	奇	期	圻
kỷ	紀
kỷ nguyên	紀元
kỷnguyên	紀元
lan	蘭
liên	連	聯
liên bang	聯邦
liên doanh	聯营	聯營
liên hệ	聯係
liên hợp	聯合
liên kết	連結
liên quan	聯関	聯關
liên tỉnh	聯省
liênbang	聯邦
liêndoanh	聯营	聯營
liênhệ	聯係
liênhợp	聯合
liênkết	連結
liênquan	聯関	聯關
liêntỉnh	聯省
liệu	料
long	龍
loại	類
luận	論
luận cứ	論拠
luận ngữ	論語
luận đề	論題
luậncứ	論拠
luậnngữ	論語
luậnđề	論題
luật	律
luật sư	律師
luậtsư	律師
là	羅
làm	爫
làm cho	爫朱
làm giấy	爫紙
làm gì	爫之	爫咦
làm khách	爫客
làm sao	爫牢
làm việc	爫役
làmcho	爫朱
làmgiấy	爫紙
làmgì	爫之	爫咦
làmkhách	爫客
làmsao	爫牢
làmviệc	爫役
lâm	林
lâm học	林学	林學
lâmhọc	林学	林學
lãnh	領
lãnh sự	領事
lãnhsự	領事
lên	𨖲
lòng	𢚸
lúc	𣅶
lúc này	𣅶尼	𣅶呢
lúcnày	𣅶尼	𣅶呢
lý	李	理
lý do	理由
lýdo	理由
lượng	量
lại	吏	ヌ
lấy	𥙩
lần	吝
lần đầu	吝頭
lần đầu tiên	吝頭先
lầnđầu	吝頭
lầnđầutiên	吝頭先
lập	立
lắm	𡗋
lễ	礼	禮
lễ giáo	礼教	禮教
lễ trung thu	礼中秋	禮中秋
lễgiáo	礼教	禮教
lễtrungthu	礼中秋	禮中秋
lịch	歷	厤	曆
lịch sử	歷史
lịchsử	歷史
lỗi	纇
lớn	𡘯
lời	𠳒
lửa	焒
lửa lòng	焒𢚸
lửa tình	焒情
lửalòng	焒𢚸
lửatình	焒情
lực	力
lực lượng	力量
lựclượng	力量
mai	埋
mai một	埋𠬠
maimột	埋𠬠
minh	明
miền	沔
miền bắc	沔北
miền nam	沔南
miền trung	沔中
miềnbắc	沔北
miềnnam	沔南
miềntrung	沔中
mua	𧷸
muốn	悶	㦖
mà	麻	𦓡
màu	牟
màu sắc	牟色
màu xanh da trời	牟撑䏧𡗶	牟𩇢䏧𡗶
màusắc	牟色
màuxanhdatrời	牟撑䏧𡗶	牟𩇢䏧𡗶
má	媽
máu	𧖱
máu tham	𧖱貪
máutham	𧖱貪
máy	𣛠
máy bay	𣛠𠖤
máybay	𣛠𠖤
mây	𩄲
mình	𠵴
môi	媒
môi trường	媒場
môi trường học	媒場学	媒場學
môitrường	媒場
môitrườnghọc	媒場学	媒場學
mùi	味
mưa	𩅹
mười	𨑮
mạng	命
mạng người	命𠊛
mạngngười	命𠊛
mạnh	孟
mạnh khoẻ	孟劸
mạnhkhoẻ	孟劸
mất	𠅍
mất dạy	𠅍𠰺
mấtdạy	𠅍𠰺
mấy	𠇍
mắt	眜
mặc	默
mặc cảm	默感
mặc dù	默𠶢
mặc dầu	默𠶢
mặccảm	默感
mặcdù	默𠶢
mặcdầu	默𠶢
mặt	𩈘
mặt tiền	𩈘前
mặt trăng	𩈘𦝄
mặt trận	𩈘陣
mặttiền	𩈘前
mặttrăng	𩈘𦝄
mặttrận	𩈘陣
mẹ	媄
mọi	𤞦
mọi người	𤞦𠊛
mọingười	𤞦𠊛
mỗi	每
một	𠬠	没
một cái	𠬠丐
một dược	没藥
một lúc	𠬠𣅶
một lần	𠬠吝
một nghìn	𠬠𠦳
một triệu	𠬠兆
một trăm	𠬠𤾓
một vạn	𠬠万	𠬠萬
một ít	𠬠𠃣
mộtcái	𠬠丐
mộtdược	没藥
mộtlúc	𠬠𣅶
mộtlần	𠬠吝
mộtnghìn	𠬠𠦳
mộttriệu	𠬠兆
mộttrăm	𠬠𤾓
mộtvạn	𠬠万	𠬠萬
mộtít	𠬠𠃣
mới	㵋
mới đây	㵋低
mớiđây	㵋低
mục	目
mỹ	美
mỹ thuật	美朮	美術
mỹthuật	美朮	美術
nam	南
nam dương	南洋
nam kỳ	南圻
namdương	南洋
namkỳ	南圻
nay	𠉞
ngay	𣦍
ngay khi	𣦍欺
ngay ngắn	𣦍𥐉
ngay thật	𣦍實
ngaykhi	𣦍欺
ngayngắn	𣦍𥐉
ngaythật	𣦍實
nghe	𦖑
nghe lời	𦖑𠳒
nghelời	𦖑𠳒
nghiên	研
nghiên cứu	研究
nghiên cứu sinh	研究生
nghiêncứu	研究
nghiêncứusinh	研究生
nghiệp	業
nghìn	𠦳
nghĩa	義
nghĩa vụ	義務
nghĩavụ	義務
nghề	芸	藝
nghề nghiệp	芸業	藝業
nghềnghiệp	芸業	藝業
nghệ thuật	芸朮	藝術
nghệthuật	芸朮	藝術
ngon	𤯆
ngon miệng	𤯆𠰘
ngon mắt	𤯆眜
ngonmiệng	𤯆𠰘
ngonmắt	𤯆眜
ngoài	外
ngoài giao	外交
ngoài miệng	外𠰘
ngoàigiao	外交
ngoàimiệng	外𠰘
ngoại quốc	外國
ngoạiquốc	外國
nguy	危
nguy hiểm	危險
nguyhiểm	危險
nguyên	元
nguyên niên	元年
nguyên âm	元音
nguyênniên	元年
nguyênâm	元音
nguyễn	阮
ngài	𠊚
ngàn	𠦳
ngày	𣈜
ngày lễ	𣈜礼	𣈜禮
ngày nay	𣈜𠉞
ngày sau	𣈜𡢐
ngày tháng	𣈜𣎃
ngày thường	𣈜常
ngày xưa	𣈜𠸗
ngàylễ	𣈜礼	𣈜禮
ngàynay	𣈜𠉞
ngàysau	𣈜𡢐
ngàytháng	𣈜𣎃
ngàythường	𣈜常
ngàyxưa	𣈜𠸗
ngân	銀
ngân hàng	銀行
ngân hàng máu	銀行𧖱
ngânhàng	銀行
ngânhàngmáu	銀行𧖱
ngói	瓦
ngôn	言
ngôn ngữ	言語
ngônngữ	言語
ngũ	五
ngũ thường	五常
ngũthường	五常
người	𠊛
người ta	𠊛些
người việt	𠊛越
người xưa	𠊛𠸗
ngườita	𠊛些
ngườiviệt	𠊛越
ngườixưa	𠊛𠸗
ngắn	𥐉
ngủ	𥄬
ngủ ngon	𥄬𤯆
ngủngon	𥄬𤯆
ngữ	語
ngữ hệ	語系
ngữhệ	語系
nhau	膮
nhiên	然
nhiêu	饒
nhiều	𡗉
nhiều khi	𡗉欺
nhiều lời	𡗉𠳒
nhiềukhi	𡗉欺
nhiềulời	𡗉𠳒
nhà	茹
nhà cửa	茹𨴦	茹𨷶
